House,Career(No College),Career(College),Pet,Action,"pb,cb,cfe,rb (rb), rbe(red black spin everyone), fired, se(spin everyone), pos(pick oponent spinner), c10x+t (collect 10x spin plus take another turn), c10x, cp (collect from player) poc10x(pickoponent collect 10x spin),poscb(pick opponent, spint, collect from bank),s(spin), laugh(if they laugh, collect a bonus payday from the bank)"
"Beach Hut,100,80,150","Dancer,50,2","Teacer,100,6","Go to the groomer!, Looking good., pb:10","Your pet goat wins a ribbon!,Tell everyone its name.,cb:120",
"Windmill,350,300,500","Inventor,80,4","Vet,100,7","Teach your pet a new trick!, Tell everyone what it is.,cb:30","Dolphin-Watching Cruise,Describe your perfect cruise.,rb:40|50",
"City Penthouse,600,650,700","Police Officer,50,4","Scientist,100,9","Your pet's a hero!,How did they save the day?,cb:30","Tax refund!,Hooray!,cb:50",
"Family House,250,200,300","Athlete,50,1","Doctor,130,10","Pet talent show!, Pick an opponent. Both say your pet's talent, and spin.,chl:50","Cook perfect pancakes!,All players shout out their favorite pancake topping and take turns spinning.,rbe: cb:30|pb:30",
"Houseboat,200,180,300","Chef,50,3","Fashion Designer,80,7","Surprise!,Add another pet peg to your car.,cb:20","Happy New Year!,Everyone makes resolutions and spins to see how many they kept., se: 1-3=50| 4-7=80|8-10=100",
"Eco House,200,180,300","Race Car Driver,60,2","Lawyer,120,90","Visit the pet store!,What treats did you buy?,pb:10","Ski Trip,What's your favorite winter activity?,cb:30",
"Dream Villa,300,250,380","Singer,70,3","Secret Agent,100,8","Your pet finds a new chew toy!,Time to replace your shoes.,pb:20","Learn to skydive!,That's one long free-fall,pb:70",
"Island Holiday Home,600,550,800","Actor,100,5","Video Game Designer,110,8","Make friends at the pet park!,Tell everyone what animals you met., cb*p:10","Start an online business!,,pb:50",
"Luxury Flat,250,200,300",,,"Pet eats your homework!,This time it's for real.,pb:10","Invent a dancing robot!,Pick an opponent. Both spin to see who the robot is named after.,pos:100",
"Studio Flat,100,80,150",,,"Visit the vet!,,pb*p:10","Write a children's book!,Tell everyone what it's about.,cb:40",
"Cozy Cottage,150,120,200",,,"Find buried treasure!, Tell everyone what's inside.,cb:30","Set up a school!,Everyone wants to go there!,cb:40",
"Ranch,600,600,750",,,"Pass obedeience school!,What did your pet learn?,cb*p:20","Go fishing!, Pick an opponent. Both spin to see whose fish is the biggest.,poc10x",
"Teepee,100,80,150",,,"Rescue a stray!,Add another pet peg to your car.,cfe:10","Buy a bouncy castle!,Spin to see how high you jumped. SPIN AGAIN!,c10x",
"Farmhouse,300,250,380",,,"Throw your pet a birthday party!,,cfe:20","Visiting the Eiffel Tower,What would you like to see in Paris?,rb:20|40",
,,,"Your pet's video goes viral!,Everyone wants a picture with them!,cfe:30","Run a marathon!,Pick an opponent.Both show off your warm-up moves and spin.,poscb:100",
,,,,"Buy a home theater!,Name your favorite movie.,pb:50",
,,,,"Shipwrecked on a desert island!,Everyone spins to find out how long they’re stranded.,se:1-5=20|6-10=50",
,,,,"Lawsuit!,Sue another player for damaging your fence!,cp:80",
,,,,"Bongo classes!,Pick an opponent. Both play a drum solo on the table and spin.,pos:70",
,,,,"Buy a designer suit!,Looking good!,pb:30",
,,,,"Make your yard an adventure playground!,,pb:30",
,,,,"Waltz all night at a ball!,Spin the spinner to see how dizzy you got.,s:1-5=50|6-10=100",
,,,,"Start a family band!,What would everybody play?,pb:30",
,,,,"Great Barrier Reef Snorkeling,Describe a sea monster and spin for a prize!,rb:40|60",
,,,,"Hiking the Great Wall of China,How far do you think you could walk?,cb:50",
,,,,"Win a ""Family of the Year"" award!,Hug everyone to say thanks.,cb:40",
,,,,"Walk the catwalk!,Pick an opponent. Both strike a pose and spin.,pos:70",
,,,,"It's a dance competition!,Pick an opponent. Both show off your disco moves and spin.,pos:50",
,,,,"Paint a beautiful masterpiece!,Spin to see what it's worth…,s:1-4=10|5-8=20|9-10=30",
,,,,"Win a skateboarding competition!,Show everyone your moves.,cb:100",
,,,,"Amusement Park in Dubai,Describe your favorite ride and spin for a prize,s:1-5=30|6-10=50",
,,,,"Buy a priceless painting!,Tell everyone what it looks like.,pb:50",
,,,,"You're voted ""The Nicest Person Ever!"",Give everyone a compliment and spin.,s:1-5=50|6-10=100",
,,,,"Win a ""Beautiful Forehead"" contest!,Tell everyone why your forehead is the prettiest.,cb:40",
,,,,"Surf's up!,Pick an opponent. Both spin to see whose wave is the biggest.,poc10x",
,,,,"Give money to an animal rescue!,Name your favorite animal.,pb:20",
,,,,"Buy a tropical aquarium!, Name your fish.,pb:20",
,,,,"Pass your driving test!,Tell everyone what car you got.,pb:50",
,,,,"Lawsuit!,Sue another player for squashing your prize tomatoes!,cp:50",
,,,,"Trace your family tree!,Discover a family fortune.,cb:70",
,,,,"Invent a new fruit!,It's half kiwi, half banana! Spin to see how many you sold., c10x",
,,,,"Savanna Safari,What animals did you see?,cb:50",
,,,,"Get a pool!,It's time for some scorching summer fun.,pb:50",
,,,,"Ride a rocket into space!,Pick an opponent. Both spin to see whose rocket went the highest.,poc10x",
,,,,"Lawsuit!,Sue another player for stealing your stapler!,cp:20",
,,,,"It's Great Uncle Max's 100th birthday!,Throw him the party of a lifetime!,pb:30",
,,,,"Sell flowers from your garden!,Name your favorite flower.,cb:70",
,,,,"Dress like a superhero!,Pick an opponent. Both name your superpower and spin.,pos:50",
,,,,"Bake a cake for the county fair!,Pick an opponent. Both describe your dream cake and spin.,pos:70",
,,,,"Start a snail farm!,Shells are the future.,pb:50",
